nr_cnpj_entidade,sg_uf,no_ente,dt_mes_bimestre,dt_ano,no_segmento,no_tipo_ativo,pc_cmn,id_ativo,no_fundo,qt_rpps,vl_atual_ativo,vl_total_atual,pc_rpps,vl_patrimonio,pc_patrimonio
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,35292588000189,BB  PREVIDENCIARIO  RENDA  FIXA  ALOCACAO  ATIVA  RETORNO  TOTAL  FUNDO  DE  INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO,16396545.6755801754,1.5376350880,25211903.95,5.24,4851044752.91,0.52
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740670000106,FUNDO DE INVESTIMENTO CAIXA BRASIL IRF-M 1 TITULOS PUBLICOS RENDA FIXA,63044.7556730000,3.9552030000,249354.81,0.05,8802049921.20,0.00
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,39255739000180,BB PREVIDENCIARIO RENDA FIXA TITULOS PUBLICOS VERTICE ESPECIAL 2026 FIF RESPONSABILIDADE LIMITADA,1684208.4021366070,1.0079670000,1697626.49,0.33,766814550.24,0.22
29131075000193,RJ,Maricá,3,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,34660276000118,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL ESTRATEGIA LIVRE MULTIMERCADO LONGO PRAZO,3103.8308373650,1341.4771210000,4163718.06,0.93,144743555.01,2.88
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,37573.7163230000,4.4620160000,167654.52,0.04,6117661899.67,0.00
29131075000193,RJ,Maricá,4,2025,Disponibilidades Financeiras,,,4439/450000045,33 - Banco Santander (Brasil) S.A.,1.0000000000,53662.8300000000,53662.83,0.01,,
29131075000193,RJ,Maricá,2,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,14213331000114,BB DIVIDENDOS MIDCAPS FIC ACOES,3034636.3888407710,2.5505457500,7739978.94,1.76,716814929.74,1.08
29131075000193,RJ,Maricá,3,2025,Disponibilidades Financeiras,,,2280/32995-9,1 - Banco do Brasil S.A.,1.0000000000,0.0000000000,0.0,0.00,,
29131075000193,RJ,Maricá,3,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,14213331000114,BB DIVIDENDOS MIDCAPS FIC ACOES,3034636.3888407710,2.6024639300,7897531.74,1.76,723926587.07,1.09
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11328882000135,BB PREVIDENCIARIO RENDA FIXA IRF-M1 TITULOS PUBLICOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO,4496550.7543862500,4.0676624640,18290450.72,3.80,9348920234.27,0.20
